,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AT5G16590,280.8916155,-2.295090586,0.41161964,-5.575755782,2.46E-08,3.98E-07
AT5G16600,110.4369986,-2.715984244,0.661559863,-4.105424766,4.04E-05,0.000377819
AT5G16610,88.82432239,-3.444665491,1.005739815,-3.425006587,0.000614785,0.004157896
AT5G16650,186.0412731,-2.034432231,0.456040095,-4.461081941,8.15E-06,8.91E-05
AT5G17170,499.1091095,-2.431229424,0.361621058,-6.723141168,1.78E-11,4.10E-10
AT5G17270,66.48522626,-2.319524034,0.800952003,-2.895958842,0.00378002,0.019653652
AT5G17640,117.6571345,-2.298314174,0.775114652,-2.965128022,0.00302557,0.016298956
AT5G18690,138.0344964,-2.553626456,0.744920785,-3.42805102,0.000607931,0.004114437
AT5G18930,155.1350618,-2.099003844,0.700740101,-2.995409911,0.002740762,0.014961485
AT5G19120,411.8501745,-2.481134951,0.501151712,-4.950865959,7.39E-07,9.61E-06
AT5G19151,17.88592082,-5.004092956,1.702936634,-2.93850802,0.003297961,0.017555077
AT5G19160,38.57197868,-5.125069657,1.286480383,-3.983791532,6.78E-05,0.000598571
AT5G19190,212.346982,-2.636109043,0.562231419,-4.688654803,2.75E-06,3.30E-05
AT5G19210,64.28606353,-2.378687871,0.751146738,-3.166741929,0.001541571,0.009209234
AT5G19530,616.9838765,-2.460859039,0.337211515,-7.297672016,2.93E-13,7.81E-12
AT5G20580,89.74562351,-2.132719378,0.749184933,-2.846719526,0.004417226,0.022419613
AT5G20630,1148.519069,-2.222754569,0.361927413,-6.141437445,8.18E-10,1.59E-08
AT5G20885,334.7977315,-2.820924388,0.468702166,-6.018586197,1.76E-09,3.29E-08
AT5G21326,218.0704162,-2.514020593,0.837471885,-3.001916408,0.002682858,0.014707963
AT5G22920,669.4022863,-3.446849351,0.547682484,-6.293517592,3.10E-10,6.30E-09
AT5G22930,69.08630432,-2.951765632,0.936492515,-3.151937238,0.001621911,0.009616613
AT5G23050,1022.750401,-2.598124146,0.423218716,-6.13896325,8.31E-10,1.61E-08
AT5G23360,91.32639113,-4.57970248,1.117923158,-4.096616523,4.19E-05,0.000390391
AT5G23370,24.81209944,-6.047501857,1.620931931,-3.730879589,0.000190812,0.001508939
AT5G23730,23.88347538,-5.780589213,1.730681681,-3.340064944,0.000837588,0.005463197
AT5G23760,292.3294119,-2.120187868,0.504103632,-4.205857157,2.60E-05,0.000254903
AT5G23800,30.86115488,-7.561926403,1.620883492,-4.665311505,3.08E-06,3.67E-05
AT5G23810,125.9723946,-2.413141113,0.569251109,-4.239150483,2.24E-05,0.000223647
AT5G23870,128.6301176,-3.636579642,0.970097124,-3.74867583,0.000177771,0.001418628
AT5G23920,222.4772888,-2.321994928,0.417324158,-5.564007935,2.64E-08,4.24E-07
AT5G24165,360.3001639,-2.269944703,0.381395676,-5.951679177,2.65E-09,4.87E-08
AT5G24570,8.459952528,-6.586125147,2.507287578,-2.626792876,0.008619378,0.038981624
AT5G25190,19.72309332,-6.928520382,1.783820274,-3.884091062,0.000102713,0.000867879
AT5G27320,121.2530329,-2.81624268,0.771165858,-3.651928635,0.000260278,0.00198417
AT5G27360,43.14729778,-3.027268325,1.165779002,-2.596777193,0.009410294,0.041840921
AT5G35080,51.6095102,-2.860941577,1.054576867,-2.712881029,0.006670105,0.031428685
AT5G35220,123.2419546,-3.435975224,0.885785394,-3.879015445,0.00010488,0.000885021
AT5G36170,226.4388519,-2.125360372,0.564503566,-3.765007875,0.000166544,0.001343519
AT5G37260,209.4995305,-3.864379104,0.525098304,-7.359344091,1.85E-13,5.00E-12
AT5G37670,17.5352302,-7.6323394,1.951105143,-3.911803229,9.16E-05,0.000782646
AT5G38430,2919.175857,-2.301501805,0.264483629,-8.701868676,3.26E-18,1.34E-16
AT5G40300,65.50409855,-2.077430153,0.797965398,-2.603408819,0.009230182,0.041209317
AT5G41220,75.26578653,-2.250141242,0.88075448,-2.5547883,0.01062524,0.046146145
AT5G42680,296.9168183,-4.935082991,0.525875079,-9.384515806,6.32E-21,3.02E-19
AT5G42770,26.03508652,-4.107526122,1.277737056,-3.21468811,0.001305863,0.008027868
AT5G42990,154.0117927,-2.363804237,0.87140173,-2.712645793,0.006674841,0.031443305
AT5G43860,8.370660083,-6.565053728,2.448983924,-2.680725531,0.007346274,0.034080763
AT5G43910,15.98205703,-4.476841054,1.736110913,-2.578660741,0.009918414,0.043676421
AT5G44600,35.51397912,-4.541390072,1.505652382,-3.016227468,0.002559412,0.014160264
AT5G44680,1002.364782,-2.262741933,0.275817818,-8.203755464,2.33E-16,8.11E-15
AT5G45040,75.74673547,-2.167475362,0.830938263,-2.608467389,0.009094868,0.040711166
AT5G45660,14.32473157,-4.957222612,1.91649973,-2.586602301,0.009692739,0.042859142
AT5G47370,149.0982498,-3.1686135,1.068185557,-2.966351191,0.003013562,0.016243358
AT5G47800,89.60056195,-2.817180449,0.785934828,-3.584496255,0.000337729,0.002500237
AT5G48220,127.7807546,-3.292123721,0.9339742,-3.524855099,0.000423714,0.003031843
AT5G48360,70.52754641,-2.27657465,0.760134192,-2.994964143,0.002744771,0.014979119
AT5G48545,83.14745632,-2.523364994,0.693101308,-3.640687106,0.000271911,0.002062156
AT5G48730,78.14448181,-3.532451795,0.972894857,-3.630866961,0.000282471,0.002128689
AT5G48870,82.33565003,-2.097120712,0.720352578,-2.911242045,0.00359995,0.018875468
AT5G49665,54.09046026,-4.82274049,1.09991104,-4.384664136,1.16E-05,0.000123328
AT5G50820,75.35354705,-9.734234636,1.437457482,-6.771841782,1.27E-11,2.99E-10
