,control_1,control_2,control_3,uvc_1,uvc_2,uvc_3
AT1G07740,27,77,27,100,1,16
AT1G07730,0,12,0,1,0,0
AT1G07745,66,48,36,15,42,1
AT1G07747,0,0,0,0,0,0
AT1G07750,120,135,69,10,86,68
AT1G07770,1358,1608,649,1739,569,706
AT1G07780,0,71,1,21,22,10
AT1G07790,185,394,114,286,75,63
AT1G07795,0,0,0,0,0,0
AT1G07810,201,234,79,888,303,110
AT1G07820,214,466,232,390,29,38
AT1G07830,95,174,43,251,0,64
AT1G07840,136,164,65,639,20,66
AT1G07850,0,1,0,2,0,0
AT1G07870,77,133,91,18,3,31
AT1G07860,0,1,0,0,0,0
AT1G07880,152,151,126,38,44,30
AT1G07885,1,0,0,0,0,0
AT1G07890,2883,4223,2181,5422,1622,1759
AT1G07900,1,17,0,0,0,0
AT1G07902,35,125,14,35,6,23
AT1G07901,30,14,0,0,1,0
AT1G07910,171,272,114,128,77,57
AT1G07920,991,1466,471,3128,846,961
AT1G07930,1194,1676,907,4019,1249,1713
AT1G07940,1149,1767,685,4433,1153,744
AT1G07950,88,141,13,17,2,23
AT1G07960,114,200,63,549,83,181
AT1G07970,76,152,57,88,13,3
AT1G07980,100,115,50,112,18,70
AT1G07985,0,0,0,0,0,3
AT1G07990,252,495,140,1726,339,247
AT1G08000,93,67,31,243,9,63
AT1G08005,0,0,0,0,0,0
AT1G08010,138,188,93,264,207,102
AT1G08030,168,303,124,332,18,99
AT1G08035,0,0,22,0,0,0
AT1G08040,186,229,54,408,145,80
AT1G08050,76,88,18,1848,551,903
AT1G08060,392,431,90,967,187,280
AT1G08065,0,0,1,0,0,2
AT1G08070,18,66,9,0,7,3
AT1G08080,0,45,27,6,34,2
AT1G08090,2,0,1,1,0,2
AT1G08100,0,0,0,0,0,0
AT1G08110,344,446,91,519,208,148
AT1G08120,0,8,0,0,0,0
AT1G08125,125,171,38,16,12,26
AT1G08130,238,223,98,1195,183,119
AT1G08135,0,0,0,0,0,0
AT1G08140,1,0,2,0,0,0
AT1G08150,1,1,0,0,39,2
AT1G08160,446,343,123,385,123,126
AT1G08165,0,0,0,0,0,0
AT1G08170,0,0,0,0,0,0
AT1G08180,52,118,29,0,22,0
AT1G08190,793,683,314,688,267,190
AT1G08200,805,1058,435,2162,449,618
AT1G08210,109,184,84,67,18,7
AT1G08220,31,70,15,169,58,55
AT1G08230,91,294,87,421,52,284
AT1G08250,79,172,16,330,195,68
AT1G08260,513,693,274,1527,464,326
AT1G08270,81,52,48,404,8,66
AT1G08280,43,85,87,108,22,67
AT1G08290,26,24,0,96,142,50
AT1G08300,57,143,14,295,42,72
AT1G08310,0,12,1,0,0,3
AT1G08315,25,87,26,224,118,57
AT1G08320,0,7,0,2,0,0
AT1G08340,81,182,87,703,47,93
AT1G08350,79,49,130,205,52,83
AT1G08360,837,1189,545,1490,368,608
AT1G08370,171,362,99,370,127,195
AT1G08380,2456,3807,1461,5076,1237,1976
AT1G08390,22,15,70,0,0,1
AT1G08400,67,76,92,8,4,3
AT1G08410,158,252,98,1101,367,335
AT1G08420,557,696,432,1046,337,412
AT1G08430,0,0,0,0,19,0
AT1G08440,0,0,0,0,0,0
AT1G08450,397,655,167,1382,600,538
AT1G08460,109,104,82,82,0,14
AT1G08465,371,307,142,204,97,95
AT1G08470,182,168,85,128,38,16
AT1G08480,240,312,186,957,162,243
AT1G08490,227,361,70,949,179,124
AT1G08500,40,28,0,477,11,44
AT1G08510,672,660,335,2249,855,764
AT1G08520,1120,1836,856,1831,373,611
AT1G08530,47,197,66,323,21,29
AT1G08540,532,1042,480,981,190,215
AT1G08550,469,960,535,658,83,262
AT1G08560,287,533,91,71,25,30
AT1G08570,498,743,269,251,206,131
AT1G08580,263,299,74,1587,158,340
AT1G08590,46,120,44,1,40,1
AT1G08600,502,537,216,1344,179,252
AT1G08610,38,90,0,49,0,28
AT1G08620,314,496,318,1063,325,327
AT1G08630,27,51,0,165,162,133
AT1G08640,471,715,257,1129,125,215
AT1G08645,66,46,92,45,28,43
AT1G08650,104,81,128,187,85,77
AT1G08660,158,216,165,92,34,11
AT1G08670,0,0,0,0,0,0
AT1G08680,325,525,265,295,159,194
AT1G08695,0,0,0,0,0,0
AT1G08700,270,237,192,1011,75,144
AT1G08710,85,39,13,170,15,30
AT1G08720,296,291,131,573,89,109
AT1G08730,1,2,39,1,6,7
AT1G08750,53,222,75,34,105,19
AT1G08760,223,239,68,463,39,153
AT1G08770,81,109,23,63,49,46
AT1G08780,64,108,74,245,89,71
AT1G08790,0,0,0,0,0,0
AT1G08800,120,85,29,557,235,252
AT1G08810,0,4,1,0,0,0
AT1G08820,306,349,259,1112,148,213
AT1G08830,132,162,105,1034,286,158
AT1G08840,127,161,58,767,63,81
AT1G08845,32,31,2,88,0,55
AT1G08860,0,9,0,90,26,58
AT1G08880,517,700,331,179,78,84
AT1G08890,24,54,13,113,21,29
AT1G08900,26,160,41,265,5,47
AT1G08910,147,217,109,265,98,24
AT1G08920,291,376,172,1264,308,297
AT1G08930,321,422,360,4559,1539,2072
AT1G08940,42,101,24,914,647,339
AT1G08960,59,109,61,226,0,41
AT1G08970,264,317,127,650,54,180
AT1G08980,279,603,243,468,55,371
AT1G08985,0,0,0,0,0,0
AT1G08990,0,1,0,18,0,0
AT1G09000,43,53,59,207,1,41
AT1G09010,472,963,160,203,39,260
AT1G09020,399,466,242,870,250,297
AT1G09030,0,0,0,0,0,0
AT1G09040,26,67,22,60,35,20
AT1G09050,44,59,73,116,0,31
AT1G09060,816,677,341,1124,300,418
AT1G09070,2073,1717,1099,6428,1731,1840
AT1G09080,18,1,50,0,0,20
AT1G09090,12,0,0,0,5,0
AT1G09100,121,153,69,21,61,200
AT1G09130,631,887,361,1048,176,164
AT1G09140,525,579,297,288,236,236
AT1G09150,257,304,83,17,84,170
AT1G09155,0,0,0,0,0,0
AT1G09157,0,0,1,0,0,0
AT1G09160,255,446,102,356,201,108
AT1G09170,1,12,0,0,1,19
AT1G09176,0,0,0,0,1,12
AT1G09180,0,3,9,0,1,0
AT1G09190,18,16,36,57,17,2
AT1G09195,5,87,81,44,96,99
AT1G09200,175,634,182,181,2,57
AT1G09210,812,1212,564,695,237,326
AT1G09220,9,33,0,3,0,1
AT1G09230,83,125,31,40,2,35
AT1G09240,91,131,53,0,0,0
AT1G09245,0,0,0,0,0,0
AT1G09250,175,169,58,154,0,10
AT1G09260,0,0,0,4,0,0
AT1G09270,275,353,244,1117,182,217
AT1G09280,141,109,91,229,21,19
AT1G09290,58,51,38,36,1,13
AT1G09300,50,123,40,255,1,48
AT1G09310,101,191,83,72,54,301
AT1G09320,71,138,32,382,45,41
AT1G09330,93,170,127,459,54,57
AT1G09340,1851,3401,1055,1332,545,705
AT1G09350,2,0,0,6,0,0
AT1G09360,0,0,0,0,0,0
AT1G09370,0,0,0,0,0,0
AT1G09380,0,2,0,1,0,0
AT1G09390,137,298,72,220,117,43
AT1G09400,13,61,0,88,1,0
AT1G09410,36,1,17,2,22,12
AT1G09415,43,193,21,278,9,60
AT1G09420,142,145,21,176,51,50
AT1G09430,364,455,290,780,323,231
AT1G09440,170,283,138,323,20,28
AT1G09450,12,14,2,0,1,2
AT1G09460,367,441,205,78,47,80
AT1G09470,32,96,46,0,0,0
AT1G09480,0,6,0,597,0,16
AT1G09483,0,0,0,0,0,0
AT1G09490,135,130,43,209,112,44
AT1G09500,0,0,0,0,26,1
AT1G09510,0,0,0,0,0,7
AT1G09520,21,117,18,28,119,99
AT1G09530,110,179,96,188,46,59
AT1G09540,0,0,0,0,29,12
AT1G09550,1,0,0,1,0,0
AT1G09560,118,249,83,903,543,444
AT1G09570,1137,1663,667,1875,526,777
AT1G09575,26,50,41,379,20,94
AT1G09580,52,60,33,0,33,1
AT1G09590,458,685,196,1420,322,296
AT1G09600,26,3,0,0,0,0
AT1G09610,20,78,17,553,1,96
AT1G09620,902,1634,702,3255,996,1236
AT1G09625,0,0,0,0,0,0
AT1G09630,62,110,51,174,40,91
AT1G09640,1272,1902,717,5640,1933,1260
AT1G09645,121,202,84,735,33,137
AT1G09650,0,3,0,0,0,8
AT1G09660,380,427,150,238,82,12
AT1G09665,0,0,0,0,0,0
AT1G09680,4,23,45,1,30,4
AT1G09690,637,1058,324,1103,423,306
AT1G09700,41,195,33,60,16,42
AT1G09710,154,120,53,2,13,30
AT1G09720,0,0,0,0,0,1
AT1G09730,416,510,275,968,30,453
AT1G09740,21,89,1,21,2,8
AT1G09750,268,1063,325,1228,311,273
AT1G09760,191,291,169,579,220,175
AT1G09770,795,1248,459,3214,932,1065
AT1G09780,964,1159,628,1686,485,715
AT1G09790,0,0,1,0,0,0
AT1G09794,49,43,41,32,103,136
AT1G09795,442,770,288,496,195,290
AT1G09800,41,65,73,351,89,34
AT1G09810,137,153,149,443,10,184
AT1G09812,46,127,26,221,0,14
AT1G09815,132,156,41,651,233,270
AT1G09820,77,21,1,285,27,48
AT1G09830,163,169,43,100,112,71
AT1G09840,474,435,183,690,64,186
AT1G09850,159,390,93,197,140,12
AT1G09860,26,22,5,0,0,0
AT1G09870,129,269,90,79,11,87
AT1G09880,16,38,11,68,9,23
AT1G09890,63,176,142,276,100,77
AT1G09900,178,247,44,427,27,27
AT1G09910,95,193,30,18,75,39
AT1G09920,218,306,181,836,54,207
AT1G09930,0,1,11,13,59,11
AT1G09932,11,2,2,5212,608,948
AT1G09935,1,0,0,0,0,0
AT1G09940,253,391,26,2556,833,747
AT1G09950,0,0,0,42,0,15
AT1G09960,194,168,83,372,224,46
AT1G09970,1488,1437,756,23008,7537,8486
AT1G09980,251,195,58,509,252,156
AT1G09995,26,21,25,95,42,2
AT1G10000,5,14,4,0,0,1
AT1G10010,0,0,0,0,0,0
AT1G10020,252,316,86,164,57,33
AT1G10030,53,87,18,92,1,14
AT1G10040,36,11,8,612,89,256
AT1G10050,46,73,3,783,137,138
AT1G10060,0,25,0,2,271,3
AT1G10070,16,28,9,0,71,89
AT1G10090,192,253,84,256,142,267
AT1G10095,16,57,29,210,15,21
AT1G10100,0,0,0,0,0,0
AT1G10110,0,0,13,9,0,16
AT1G10120,505,561,264,66,104,93
AT1G10130,469,564,299,835,231,328
AT1G10140,35,14,18,1556,246,354
AT1G10150,160,203,158,227,119,187
AT1G10155,174,214,159,227,119,187
AT1G10170,353,568,217,10542,3189,2974
AT1G10180,162,202,79,42,93,71
AT1G10190,0,0,0,1,0,0
AT1G10200,495,1014,382,668,397,101
AT1G10210,73,49,7,95,21,30
AT1G10220,0,0,0,17,0,0
AT1G10225,0,0,0,0,0,0
AT1G10230,12,71,26,105,11,21
AT1G10240,66,140,35,11,4,5
AT1G10250,0,0,0,0,0,0
AT1G10270,322,105,71,934,335,304
AT1G10280,68,81,21,278,30,12
AT1G10290,651,844,290,1609,502,839
AT1G10300,24,0,0,0,0,0
AT1G10310,67,77,55,83,0,18
AT1G10320,171,322,177,253,96,211
AT1G10330,8,0,1,1,0,0
AT1G10340,9,21,0,96,207,90
AT1G10350,128,172,80,575,28,38
AT1G10360,101,162,52,90,5,18
AT1G10370,7,7,0,3,3,1
AT1G10380,382,569,368,443,41,62
AT1G10385,0,1,0,0,1,0
AT1G10390,683,989,428,1914,358,660
AT1G10395,39,85,10,128,1,58
AT1G10400,0,0,0,0,1,0
AT1G10410,299,314,155,2093,304,282
AT1G10417,27,2,0,1,2,0
AT1G10430,85,185,80,47,67,103
AT1G10450,283,352,119,526,141,168
AT1G10455,0,2,0,0,0,2
AT1G10460,27,9,13,0,0,0
AT1G10470,535,1018,361,413,97,49
AT1G10480,0,0,0,0,0,0
AT1G10490,196,406,149,861,154,57
AT1G10500,174,385,29,459,118,124
AT1G10510,215,419,102,424,19,101
AT1G10520,0,31,3,1,0,4
AT1G10522,431,460,294,596,96,193
AT1G10530,18,16,0,10,0,2
AT1G10540,0,15,0,0,0,0
AT1G10550,0,0,0,0,0,0
AT1G10560,0,0,28,72,17,37
AT1G10570,150,146,138,158,24,63
AT1G10580,165,261,156,1637,781,620
AT1G10585,1,1,0,173,134,200
AT1G10586,0,2,0,3,26,0
AT1G10588,0,0,0,0,0,0
AT1G10590,395,421,175,891,256,290
AT1G10600,153,262,14,143,18,59
AT1G10610,70,127,37,36,4,25
AT1G10620,5,0,0,0,1,0
AT1G10630,199,331,77,758,316,211
AT1G10640,4,0,2,0,0,5
AT1G10650,155,196,99,447,33,10
AT1G10657,250,78,98,5,20,28
AT1G10660,178,234,37,202,75,50
AT1G10670,954,1197,472,2347,573,496
AT1G10680,0,1,0,0,0,1
AT1G10690,40,54,24,223,0,34
AT1G10700,68,180,38,1031,260,202
AT1G10710,0,0,0,0,0,0
AT1G10715,0,0,0,0,0,0
AT1G10717,0,0,0,0,0,0
AT1G10720,293,257,155,512,72,85
AT1G10730,125,145,41,361,5,31
AT1G10740,315,194,75,161,62,116
AT1G10745,0,0,0,0,0,0
AT1G10747,0,3,5,0,0,0
AT1G10750,128,87,61,0,1,8
AT1G10760,2007,2658,1004,6414,846,1766
AT1G10770,2,0,0,0,33,22
AT1G10780,14,20,35,113,10,25
AT1G10790,1,10,13,2,4,1
AT1G10800,0,44,4,7,31,24
AT1G10810,24,60,46,0,2,0
AT1G10820,391,587,212,365,119,75
AT1G10830,125,201,107,129,77,41
AT1G10840,455,953,375,937,265,334
AT1G10850,119,102,52,70,0,6
AT1G10865,65,158,0,150,30,37
AT1G10870,258,157,144,153,31,78
AT1G10875,0,0,0,0,0,0
AT1G10880,1,0,0,0,0,0
AT1G10890,463,501,401,1122,275,395
AT1G10900,476,516,297,471,160,108
AT1G10910,368,380,175,107,11,135
AT1G10920,49,48,34,9,96,30
AT1G10930,177,235,137,17,53,40
AT1G10940,682,540,340,896,290,345
AT1G10950,1368,1466,682,1905,679,479
AT1G10960,1200,3141,971,970,261,177
AT1G10970,5,18,1,1,0,10
AT1G10980,0,0,0,1,0,0
AT1G10990,3,1,0,59,4,23
AT1G11000,0,3,0,0,1,3
AT1G11020,110,178,33,234,247,33
AT1G11040,1,0,0,362,0,22
AT1G11050,178,71,19,4490,934,1144
AT1G11060,190,142,123,404,31,91
AT1G11070,0,0,0,0,0,0
AT1G11080,0,0,0,8,1,1
AT1G11090,87,110,55,62,10,60
AT1G11100,23,49,21,227,73,52
AT1G11110,0,0,0,0,0,1
AT1G11112,0,0,1,0,0,0
AT1G11120,0,51,1,0,0,0
AT1G11125,27,5,0,0,26,0
AT1G11130,173,337,52,45,134,97
AT1G11145,0,0,0,0,0,0
AT1G11160,19,127,19,14,32,0
AT1G11170,20,132,50,81,0,28
AT1G11180,39,95,37,333,33,1
AT1G11190,98,120,44,719,98,101
AT1G11200,124,128,49,572,6,171
AT1G11210,63,85,58,333,36,67
AT1G11220,16,59,3,1,0,0
AT1G11230,0,0,0,0,0,0
AT1G11240,195,199,171,737,132,100
AT1G11250,0,5,0,0,0,0
AT1G11260,1331,1022,585,963,752,756
AT1G11270,74,64,22,95,1,5
AT1G11280,105,235,65,537,44,67
AT1G11290,114,76,65,41,72,7
AT1G11300,13,3,0,94,39,33
AT1G11303,6,45,19,98,0,28
AT1G11310,974,1339,405,2368,746,1050
AT1G11320,32,28,2,1,11,70
AT1G11330,211,165,118,1578,891,890
AT1G11340,9,2,0,1,1,0
AT1G11350,16,51,20,52,79,97
AT1G11360,288,222,98,163,147,59
AT1G11362,0,0,0,0,0,0
AT1G11370,2,0,0,0,0,0
AT1G11380,112,137,156,7,0,2
AT1G11390,121,120,87,170,182,157
AT1G11400,171,239,77,92,79,59
AT1G11410,19,5,0,33,0,27
AT1G11420,45,60,3,1,5,0
AT1G11430,320,725,256,442,112,116
AT1G11440,134,193,178,123,24,16
AT1G11450,69,32,0,0,4,1
AT1G11460,0,0,0,0,27,2
AT1G11470,0,0,0,0,0,0
AT1G11475,53,192,13,403,69,83
AT1G11480,646,586,216,1131,461,423
AT1G11490,0,8,0,0,40,0
AT1G11500,0,37,0,26,0,0
AT1G11510,4,0,0,0,0,0
AT1G11520,0,9,0,10,1,2
AT1G11530,153,195,90,214,31,23
AT1G11540,8,0,0,0,1,20
AT1G11545,0,103,6,186,73,27
AT1G11560,0,0,0,45,28,14
AT1G11570,6,39,23,94,159,10
AT1G11572,0,4,0,135,34,36
AT1G11580,369,422,190,1259,209,397
AT1G11590,0,0,0,0,0,0
AT1G11591,1,27,13,1,0,0
AT1G11593,0,0,0,0,0,0
AT1G11600,0,0,0,0,0,0
AT1G11608,0,0,0,1,0,0
AT1G11610,0,1,0,133,31,85
AT1G11620,0,0,0,0,0,1
AT1G11630,136,86,16,97,24,59
AT1G11650,763,1292,578,1720,541,417
AT1G11655,0,2,0,0,0,0
AT1G11660,467,452,315,768,245,284
AT1G11670,0,0,0,88,9,1
AT1G11680,213,425,200,293,83,132
AT1G11684,0,0,0,0,0,0
AT1G11690,0,0,0,0,0,0
AT1G11700,95,91,79,3,31,6
AT1G11710,36,59,9,24,21,33
AT1G11720,163,327,132,431,13,95
AT1G11730,132,99,85,66,7,55
AT1G11740,1,3,1,0,0,2
AT1G11750,406,728,311,585,172,220
AT1G11755,56,149,71,0,27,74
AT1G11760,8,127,25,0,11,0
AT1G11765,0,0,0,0,0,0
AT1G11770,0,2,0,0,0,1
AT1G11780,99,109,21,165,3,33
AT1G11785,12,0,0,0,0,0
AT1G11790,70,358,95,313,145,117
AT1G11800,51,45,13,182,73,7
AT1G11810,0,7,0,19,0,1
AT1G11820,203,344,126,534,34,56
AT1G11840,1056,1931,693,3601,697,1235
AT1G11850,0,20,0,0,0,0
AT1G11860,2974,5435,2085,2271,453,1117
AT1G11870,178,174,45,75,34,77
AT1G11880,73,70,33,200,28,0
AT1G11890,198,295,149,453,65,183
AT1G11900,0,62,0,0,0,1
AT1G11905,93,94,120,691,222,173
AT1G11910,2771,3035,1695,4506,1271,1351
AT1G11915,53,49,0,33,18,50
AT1G11920,0,0,0,0,0,1
AT1G11925,3,0,20,273,23,47
AT1G11930,371,343,211,226,139,201
AT1G11940,90,39,2,86,1,13
AT1G11950,49,123,56,92,61,6
AT1G11960,407,366,170,149,60,58
AT1G11970,0,0,0,0,0,0
AT1G11980,0,0,0,0,0,0
AT1G11990,0,1,0,0,0,0
AT1G12000,337,579,183,1075,144,400
AT1G12010,17,88,68,78,2,43
AT1G12020,111,176,79,16,0,8
AT1G12030,0,0,0,0,0,0
AT1G12040,0,0,0,0,1,0
AT1G12050,265,226,178,120,143,63
AT1G12060,75,64,30,67,0,9
AT1G12064,0,0,0,0,0,0
AT1G12070,3,24,0,0,7,0
AT1G12080,337,672,216,1162,420,465
AT1G12090,3189,6791,2856,8773,2924,2232
AT1G12100,0,13,0,0,0,0
AT1G12110,80,134,148,196,12,18
AT1G12120,334,614,247,615,48,275
AT1G12130,0,1,0,0,0,0
AT1G12140,218,287,113,760,175,199
AT1G12150,0,14,3,1,26,0
AT1G12160,0,4,0,0,0,0
AT1G12170,0,0,0,0,0,0
AT1G12180,0,0,0,0,0,0
AT1G12190,0,0,0,1,14,0
AT1G12200,715,479,220,3167,898,1365
AT1G12210,220,274,99,349,48,65
AT1G12211,205,206,56,312,48,65
AT1G12220,38,76,18,12,29,111
AT1G12230,425,658,201,580,194,178
AT1G12240,497,817,304,1054,107,127
AT1G12244,51,108,38,116,36,15
AT1G12250,211,331,161,302,34,96
AT1G12260,112,366,164,492,118,138
AT1G12270,246,370,204,628,164,197
AT1G12280,185,337,137,83,22,81
AT1G12290,77,88,16,466,41,46
AT1G12300,69,53,28,4,0,0
AT1G12320,665,852,414,1041,288,152
AT1G12310,389,476,243,382,205,106
AT1G12330,27,169,99,0,26,28
AT1G12340,0,0,0,0,0,0
AT1G12350,124,59,62,121,53,19
AT1G12360,386,586,367,1596,376,449
AT1G12370,7,33,0,2,62,14
AT1G12380,164,269,104,155,2,0
AT1G12390,60,111,35,61,64,49
AT1G12400,60,67,4,0,5,49
AT1G12410,503,838,186,567,102,236
AT1G12411,0,0,0,0,0,0
AT1G12420,329,272,243,1702,314,423
AT1G12430,551,695,247,131,151,182
AT1G12440,445,625,303,1315,370,335
AT1G12450,123,250,116,34,20,26
AT1G12460,49,116,23,39,43,33
AT1G12470,480,685,126,951,220,224
AT1G12480,5,9,0,28,2,2
AT1G12490,9,12,0,23,0,5
AT1G12500,429,552,399,146,110,245
AT1G12520,193,218,107,252,40,16
AT1G12530,111,160,90,136,10,244
AT1G12540,0,0,0,0,0,0
AT1G12550,21,29,46,3,0,0
AT1G12560,1,0,0,1,0,1
AT1G12570,0,0,2,0,0,0
AT1G12580,385,320,199,646,128,174
AT1G12600,8,14,3,158,0,1
AT1G12610,0,1,0,0,0,0
AT1G12615,0,0,0,0,0,0
AT1G12620,64,98,14,0,2,16
AT1G12630,0,15,0,8,0,0
AT1G12640,234,315,168,492,79,129
AT1G12650,211,164,98,144,152,113
AT1G12660,0,0,0,0,0,0
AT1G12663,0,0,0,0,0,0
AT1G12665,0,0,0,0,0,1
AT1G12672,0,0,0,0,0,0
AT1G12680,265,286,148,482,103,207
AT1G12700,93,80,10,18,0,24
AT1G12710,68,38,30,6,4,61
AT1G12730,81,127,42,8,3,10
AT1G12740,0,1,0,6,2,0
AT1G12750,45,123,184,150,63,74
AT1G12760,334,467,228,2154,381,498
AT1G12770,218,373,172,760,122,66
AT1G12775,69,51,0,6,0,0
AT1G12780,1377,1759,870,1275,398,267
AT1G12790,86,21,61,21,34,3
AT1G12800,623,1100,479,951,373,411
AT1G12805,0,0,0,0,0,0
AT1G12810,226,263,104,67,157,95
AT1G12820,304,373,96,571,192,452
AT1G12840,887,1409,617,1974,304,820
AT1G12830,178,171,187,317,141,174
AT1G12845,0,25,5,128,0,21
AT1G12850,151,323,91,266,105,267
AT1G12855,0,0,0,0,0,1
AT1G12860,198,404,116,145,106,88
AT1G12870,0,0,0,1,39,17
AT1G12880,220,251,226,2451,475,641
AT1G12890,0,2,0,0,0,0
AT1G12900,2483,4628,1432,4895,915,882
AT1G12910,336,215,11,180,103,63
AT1G12920,371,568,343,879,371,439
AT1G12930,306,397,292,634,167,195
AT1G12940,0,1,0,18,0,1
AT1G12950,0,1,0,0,0,0
AT1G12960,0,0,0,0,0,0
AT1G12970,98,118,56,242,21,50
AT1G12980,0,0,0,1,0,0
AT1G12990,91,172,114,591,207,231
AT1G13000,89,184,54,409,121,180
AT1G13020,297,377,141,696,131,283
AT1G13030,130,90,63,135,29,24
AT1G13040,49,59,4,93,7,31
AT1G13050,18,73,46,21,2,62
AT1G13060,513,752,323,1249,370,412
AT1G13080,0,12,0,45,6,0
AT1G13090,150,364,148,239,72,72
AT1G13100,0,23,0,41,0,2
AT1G13110,70,48,23,151,96,213
AT1G13120,288,293,157,234,173,332
AT1G13130,0,10,1,0,0,0
AT1G13140,8,21,0,0,1,8
AT1G13143,8,0,0,0,0,8
AT1G13150,0,64,0,1,0,2
AT1G13160,256,312,157,871,203,411
AT1G13170,256,250,185,331,70,130
AT1G13180,40,128,29,547,40,22
AT1G13190,629,453,207,1453,47,277
AT1G13195,94,101,84,232,6,64
AT1G13200,0,0,0,0,17,2
AT1G13210,160,100,90,7634,1809,1805
AT1G13220,221,332,168,740,203,244
AT1G13230,4,0,0,0,0,0
AT1G13245,152,230,63,202,30,31
AT1G13250,174,229,113,133,18,40
AT1G13260,35,92,23,579,109,288
AT1G13270,250,403,216,106,97,109
AT1G13280,231,465,119,639,139,69
AT1G13290,0,1,0,0,0,0
AT1G13300,3,0,0,0,3,1
AT1G13310,1,0,0,257,0,2
AT1G13320,334,567,409,532,85,312
AT1G13330,71,21,8,588,202,142
AT1G13340,30,15,7,1263,210,134
AT1G13350,335,286,134,1126,333,266
AT1G13360,480,606,477,574,202,193
AT1G13370,1,3,1,10,7,0
AT1G13380,69,254,71,0,68,42
AT1G13390,108,139,41,597,40,186
AT1G13400,1,3,0,0,0,0
AT1G13410,0,52,0,10,0,12
AT1G13420,0,12,12,133,6,0
AT1G13430,0,0,0,0,0,0
AT1G13440,7179,8241,3726,10131,3358,3010
AT1G13450,377,281,318,513,237,201
AT1G13460,26,167,5,348,52,101
AT1G13470,0,4,0,468,177,135
AT1G13480,0,0,0,711,200,124
AT1G13485,0,0,0,0,0,0
AT1G13490,0,0,0,385,49,16
AT1G13500,0,0,0,0,0,0
AT1G13510,0,0,0,0,0,0
AT1G13520,0,0,0,431,91,38
AT1G13530,0,0,0,0,1,0
AT1G13540,0,0,0,2,0,0
AT1G13550,0,0,0,33,14,13
AT1G13560,280,381,60,715,66,82
AT1G13570,47,156,43,84,56,53
AT1G13580,45,36,35,25,15,47
AT1G13590,0,0,0,0,0,0
AT1G13600,0,19,0,0,0,10
AT1G13605,0,0,0,0,0,0
AT1G13607,0,0,0,0,0,0
AT1G13608,0,0,0,61,0,0
AT1G13609,0,5,0,0,0,0
AT1G13610,0,2,1,0,0,0
AT1G13620,0,0,0,0,0,0
AT1G13630,39,49,6,37,0,4
AT1G13635,0,22,0,2,33,14
AT1G13640,499,453,173,49,46,76
AT1G13650,0,11,2,1,0,16
AT1G13670,9,78,0,4,2,0
AT1G13680,0,0,0,0,0,0
AT1G13690,159,205,73,67,47,104
AT1G13700,45,16,12,178,1,0
AT1G13710,0,0,0,2,0,0
AT1G13730,95,221,67,194,30,67
AT1G13740,82,126,66,24,50,137
AT1G13750,5,28,14,8,16,0
AT1G13755,0,0,0,0,1,0
AT1G13760,0,0,0,0,0,0
AT1G13770,38,120,87,81,0,28
AT1G13780,76,68,25,110,33,9
AT1G13790,83,129,78,441,8,89
AT1G13800,57,24,0,3,0,10
AT1G13805,0,1,0,0,0,0
AT1G13810,1,85,13,42,0,60
AT1G13820,80,163,77,264,0,55
AT1G13825,0,0,0,0,0,0
AT1G13830,1,12,1,268,30,14
AT1G13860,299,210,81,35,108,34
AT1G13870,110,152,94,189,75,121
AT1G13880,102,323,156,248,53,172
AT1G13890,0,0,0,0,0,0
AT1G13900,241,197,163,713,197,166
AT1G13910,73,78,1,176,82,34
AT1G13920,135,216,82,117,96,94
AT1G13930,2606,4220,1634,9563,2199,2687
AT1G13940,270,297,172,276,83,67
AT1G13950,30,63,30,0,0,27
AT1G13960,97,195,68,269,50,282
AT1G13970,0,0,19,0,0,2
AT1G13980,593,706,508,591,224,408
AT1G13990,76,59,128,1312,312,355
AT1G14000,500,735,337,4012,644,717
AT1G14010,114,229,49,839,93,88
AT1G14020,33,235,21,181,38,114
AT1G14030,108,153,118,208,50,95
AT1G14040,5,26,12,2013,806,535
AT1G14048,0,0,0,0,0,0
AT1G14060,71,190,63,1614,396,348
AT1G14080,1,10,0,0,1,0
AT1G14100,0,2,0,2,0,0
AT1G14110,0,0,0,0,0,0
AT1G14120,1,4,7,14,14,0
AT1G14130,34,73,32,8,7,47
AT1G14140,122,85,62,248,3,0
AT1G14150,210,611,286,564,30,44
AT1G14160,32,109,26,0,0,0
AT1G14170,28,57,47,8,43,133
AT1G14180,96,39,1,274,31,11
AT1G14185,24,50,19,0,0,0
AT1G14190,108,158,5,310,26,49
AT1G14200,15,54,54,305,16,89
AT1G14205,39,66,17,0,0,5
AT1G14210,173,356,165,529,191,97
AT1G14220,0,1,0,0,0,0
AT1G14230,109,144,115,105,98,92
AT1G14240,0,40,22,7,1,0
AT1G14250,0,8,29,194,80,66
AT1G14260,3,14,29,270,76,22
AT1G14270,154,419,181,29,7,194
AT1G14280,31,145,12,107,49,236
AT1G14290,59,137,28,202,23,47
AT1G14300,58,124,78,256,106,44
AT1G14310,59,67,10,407,0,171
AT1G14315,0,9,0,1,1,24
AT1G14320,1248,2001,851,2943,846,1280
AT1G14330,236,242,88,905,389,347
AT1G14340,43,226,77,148,18,24
AT1G14345,370,625,232,377,87,45
AT1G14350,183,234,112,148,0,82
